Nazwa zespołu,Nazwa płyty,"wydanie
",Stan płyty 1-10,Dostępna? (T/N),Zdjęcie front (opcjonalne),Zdjęcie back (opcjonalne),Zdjęcie płyta (opcjonalne),Cena (zł)
The Paralyzers,Calling Elvis,UK,NM,,https://images-na.ssl-images-amazon.com/images/I/51ncwgNzLrL._SY355_.jpg,https://img.discogs.com/JGveEoGFG4nT9j7bxHNT-0G7VuQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-12204726-1530444526-9948.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/51ncwgNzLrL.jpg,60 ZŁ
2 Unlimited,Get Ready,UK,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/2_Unlimited_Get_Ready_cover.jpg/220px-2_Unlimited_Get_Ready_cover.jpg,https://img.discogs.com/Xv3TnlHX2PwCwWy9V2NTE8Ikkow=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-206156-1279719698.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/e/ec/2_Unlimited_Get_Ready_cover.jpg,55 ZŁ
A. Collins/R. Cray/J. Copeland,Showdown,USA,EX+,,https://img.discogs.com/hDHfMl-Mah4YhG4TVY4eL0K7TIc=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2839314-1303397673.jpeg.jpg,https://i.pinimg.com/originals/cf/8a/3f/cf8a3fb42ad220de0436cffbfec920c3.jpg,https://img.discogs.com/r0yfh7-pUt05B7oAnQyCFISTZaE=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2839314-1303397673.jpeg.jpg,50 ZŁ
AC/DC,Flick Of The Switch,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Ac-dc_Flick_of_the_Switch.JPG/220px-Ac-dc_Flick_of_the_Switch.JPG,https://townsquare.media/site/295/files/2015/08/acdc.jpg?w=980&q=75,https://upload.wikimedia.org/wikipedia/en/8/8d/Ac-dc_Flick_of_the_Switch.JPG,80 ZŁ
AC/DC,High Voltage,AUS,- EX/EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Acdc_high_voltage_international_album.jpg/220px-Acdc_high_voltage_international_album.jpg,https://blog.discogs.com/wp-content/uploads/2017/11/acdchighvoltage.jpg,https://upload.wikimedia.org/wikipedia/en/f/fc/Acdc_high_voltage_international_album.jpg,220 ZŁ
Adamski,Liveandirect,UK,EX-,,https://img.discogs.com/ylKuNoo1ojgntBLfFaqXNvbwwos=/fit-in/598x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2393243-1306469616.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/7/7d/AdamskiLiveandirect.jpg,https://img.discogs.com/AEqOgMFO-Yibg06c5uLHsFHx2yE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-85987-1177883318.jpeg.jpg,25 ZŁ
Al di Meola,Casino,UK,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Al_Di_Meola-Casino.jpeg/220px-Al_Di_Meola-Casino.jpeg,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_46961472016_r.jpg,https://img.discogs.com/7Yl5cg3SHFIcybPD-qnO28WT-kQ=/fit-in/596x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1137667-1277067994.jpeg.jpg,40 ZŁ
Al di Meola,Land Of The Midnight Sun,HOL,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Cover_-_midnight_sun.jpg/220px-Cover_-_midnight_sun.jpg,https://img.discogs.com/ADTbwThGZ23rYxI5CcDKNJfcqlU=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-458577-1254033221.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/5/51/Cover_-_midnight_sun.jpg,40 ZŁ
Al di Meola,Land Of The Midnight Sun,HOL,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Cover_-_midnight_sun.jpg/220px-Cover_-_midnight_sun.jpg,https://img.discogs.com/ADTbwThGZ23rYxI5CcDKNJfcqlU=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-458577-1254033221.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/5/51/Cover_-_midnight_sun.jpg,55 ZŁ
Al di Meola,Splendido Hotel,USA,EX,,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_39581472016_r.jpg,https://img.discogs.com/UcPs2alfhYDvKmsguThPNwNrEcQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1648214-1285787774.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Splendido_hotel.jpg/220px-Splendido_hotel.jpg,70 ZŁ
Al di Meola / Paco de Lucia / John McLaughlin,Friday....,HOL,EX,,https://img.discogs.com/JGAji7k9Nq4BjrkFFior572XGfw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-639052-1334697809.jpeg.jpg,https://www.audiophileusa.com/covers400water/65678.jpg,https://img.discogs.com/AAt37_qTIk813H2Fdgf26CTJfNU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-5917959-1406426488-4270.jpeg.jpg,60 ZŁ
Al di Meola Project,Soaring Through a Dream,USA,EX-,,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_446101472016_r.jpg,https://img.discogs.com/EXxyRALW-FLWhMlOA6mrQUXjgdU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2722905-1298135824.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Al_di_Meola_Soaring_through_a_dream.jpg/220px-Al_di_Meola_Soaring_through_a_dream.jpg,55 ZŁ
Al Jarreau,Heaven And Earth,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Al_Jarreau_Heaven_and_Earth_cover.jpg/220px-Al_Jarreau_Heaven_and_Earth_cover.jpg,https://img.discogs.com/BkNKjnw6k8163ZbvDvPuAWc0_BQ=/fit-in/550x520/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3379841-1328119753.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/f/f8/Al_Jarreau_Heaven_and_Earth_cover.jpg,50 ZŁ
Alannah Myles,same,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Alannahmylesalbum.jpg/220px-Alannahmylesalbum.jpg,https://images-na.ssl-images-amazon.com/images/I/51YsEZEfSDL.jpg,https://upload.wikimedia.org/wikipedia/en/9/9c/Alannahmylesalbum.jpg,25 ZŁ
Alexis Korner,Alexis Korner And... 2 LP,UK,NM,,https://img.discogs.com/6QwQMaiWSfqgv_A0Jq9FDDvqV34=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3198964-1325294062.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/51iby5sh8kL._SX355_.jpg,https://img.discogs.com/RpLCQbgbfpBMGEyeZlo1v3gEVWU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1497079-1224195122.jpeg.jpg,60 ZŁ
Alexis Korner,Will The Circle...,GER,EX+,,https://img.discogs.com/gds65vlYWI_pS4tqTgDg8tBPw9s=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1857176-1577056860-6165.jpeg.jpg,https://www.audiophileusa.com/covers400water/33831.jpg,https://img.discogs.com/e61DEaclb5NuyBm8i3a4---I9ig=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-4553827-1459767172-9709.jpeg.jpg,55 ZŁ
Alice Cooper,Greatest Hits,GER,VG+,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Alice_Cooper%27s_Greatest_Hits.jpg/220px-Alice_Cooper%27s_Greatest_Hits.jpg,https://images-na.ssl-images-amazon.com/images/I/61JrnOBmUyL._SY355_.jpg,https://upload.wikimedia.org/wikipedia/en/1/1b/Alice_Cooper%27s_Greatest_Hits.jpg,35 ZŁ
Allanah Myles,Rocking Horse,GER,NM,,https://upload.wikimedia.org/wikipedia/en/6/66/Alannahmylesrockinghorse.jpg,https://img.discogs.com/Ulu0r99XeQF5kdlXxrjJyyKAxG0=/fit-in/500x498/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-753265-1155310468.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Alannahmylesrockinghorse.jpg/220px-Alannahmylesrockinghorse.jpg,55 ZŁ
Anne Linnet,Tal Til Mig,DEN,EX+,,https://e.snmc.io/i/300/w/a7292b9011d317449e6dacb8ad2a370a/4198432,https://img.discogs.com/xDauPq2LBPICIVS6QOhcHBK9ivg=/fit-in/600x598/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3729651-1392575620-7086.jpeg.jpg,http://resources.wimpmusic.com/images/cf0171ab/eda8/4898/9b93/6833884fdabb/640x640.jpg,50 ZŁ
Anthrax,Penkufeshin,GER,EX-,,,,,60 ZŁ
Astrud Gilberto / The James Last Orchestra,same,USA,NM,,https://img.discogs.com/_QzMtrGMhGxTgesHJGQ3oVl59uk=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-8331823-1459538715-6668.jpeg.jpg,https://cps-static.rovicorp.com/3/JPG_500/MI0002/158/MI0002158559.jpg?partner=allrovi.com,https://img.discogs.com/5pKVZJ8iyWNk5dM6iMeSVlMVwsg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-4912522-1379418133-5980.jpeg.jpg,55 ZŁ
Average White Band,Aftershock,GER,EX+,,https://upload.wikimedia.org/wikipedia/en/6/60/Cover_-_aftershock.jpg,https://img.discogs.com/w-qzqLnh4kCo8qUQ131Q87H_8oQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-665742-1262876485.jpeg.jpg,https://www.audiophileusa.com/covers400water/72183.jpg,25 ZŁ
Average White Band,Feel No Fret 2 LP,UK,EX,,https://img.discogs.com/_AMZc-w-Gz_sJN13Nxml3nTIptE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-696713-1148841563.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/31SKHEKK2WL.jpg,https://img.discogs.com/uhGSBgLoEv7gNCyC4zjCyg2xNgw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-490270-1172936537.jpeg.jpg,35 ZŁ
Average White Band,Soul Searching,UK,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Soul_searching_awb.jpg/220px-Soul_searching_awb.jpg,https://www.waxpoetics.com/wp-content/uploads/2013/09/Soul_Searching-1.jpg,https://upload.wikimedia.org/wikipedia/en/5/50/Soul_searching_awb.jpg,35 ZŁ
B.B. King,Indianola Mississippi Seeds,USA,EX,,https://assets.fontsinuse.com/static/use-media-items/30/29180/full-1994x1944/56702579/100_8631.jpeg?resolution=0,https://images-na.ssl-images-amazon.com/images/I/41ZY4MRW92L.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/King_BB-Indianola-Missippi-Seeds.jpg/220px-King_BB-Indianola-Missippi-Seeds.jpg,100 ZŁ
Back Street Crawler,2nd Street,USA,VG-,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/2ndstreet.jpg/220px-2ndstreet.jpg,https://images-na.ssl-images-amazon.com/images/I/51EnFj7mutL._SY355_.jpg,https://upload.wikimedia.org/wikipedia/en/6/6c/2ndstreet.jpg,30 ZŁ
Bangles,Different Light,UK,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/The_Bangles_-_Different_Light.jpg/220px-The_Bangles_-_Different_Light.jpg,https://img.discogs.com/ijG0sh8O48P_U0P_3JlOJp5Pta8=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2621394-1467012919-4700.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/e/e8/The_Bangles_-_Different_Light.jpg,30 ZŁ
Bangles,Everything,HOL,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/The_Bangles_-_Everything.jpg/220px-The_Bangles_-_Everything.jpg,https://img.discogs.com/mBlbbmV_T0XAZRoQLPz7cSG27-A=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-602822-1237896793.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/f/f8/The_Bangles_-_Everything.jpg,25 ZŁ
Bauhaus,Mask,UK,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Bauhaus-Mask.jpg/220px-Bauhaus-Mask.jpg,https://img.discogs.com/qmjDgbl3RjMsP9Lk-xL12QOFkSg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-7952434-1452318512-1688.jpeg.jpg,https://www.post-punk.com/wp-content/uploads/2017/10/bauhaus-mask-complete-450x300.jpg,85 ZŁ
Beastie Boys,Licensed To Ill,UK,VG+/EX-,,https://images-na.ssl-images-amazon.com/images/I/518CojCrTFL._SX355_.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Licensed_to_ill.jpg/220px-Licensed_to_ill.jpg,https://www.udiscovermusic.com/wp-content/uploads/2018/09/Beastie-Boys-Licensed-To-Ill-Album-Cover-1.jpg,60 ZŁ
Bee Gees,ESP,GER,EX-,,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/BeeGeesEsp.jpg/220px-BeeGeesEsp.jpg,https://img.discogs.com/hdtvjqRg80r0BI1Mc4LM3wEvRck=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-7932955-1451922203-7873.jpeg.jpg,https://www.udiscovermusic.com/wp-content/uploads/2019/08/Bee-Gees-ESP-album-cover-820.jpg,35 ZŁ
Bee Gees,Greatest 2 LP,UK,EX,,https://img.discogs.com/N-HQvKh9jBoqRwaKuW5tTVYhKyE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-712178-1166130356.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/81ya7oUuNvL._SY355_.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Bestofbeegeev2.jpg/220px-Bestofbeegeev2.jpg,30 ZŁ
Bee Gees,Idea,GER,VG,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Bgidea.jpg/220px-Bgidea.jpg,https://images-na.ssl-images-amazon.com/images/I/51DiNTsUYQL._SY355_.jpg,https://c8.alamy.com/comp/PC7817/bee-gees-idea-vintage-vinyl-album-cover-PC7817.jpg,25 ZŁ
Bee Gees,Odessa 2 LP,GER,EX+,,https://images.eil.com/large_image/BEE_GEES_ODESSA-310774.jpg,https://img.discogs.com/ZwMqI-Kk1ys3PQsTJIFOmqlB2m8=/fit-in/600x610/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2625288-1383129421-6148.jpeg.jpg,https://i.ebayimg.com/images/g/kZwAAOSwPCVX6x8I/s-l300.jpg,70 ZŁ
Bee Gees,Odessa 2 LP,GER,EX+,,https://images.eil.com/large_image/BEE_GEES_ODESSA-310774.jpg,https://img.discogs.com/ZwMqI-Kk1ys3PQsTJIFOmqlB2m8=/fit-in/600x610/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2625288-1383129421-6148.jpeg.jpg,https://i.ebayimg.com/images/g/kZwAAOSwPCVX6x8I/s-l300.jpg,55 ZŁ
Bee Gees,Odessa 2 LP,GER,EX+,,https://images.eil.com/large_image/BEE_GEES_ODESSA-310774.jpg,https://img.discogs.com/ZwMqI-Kk1ys3PQsTJIFOmqlB2m8=/fit-in/600x610/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2625288-1383129421-6148.jpeg.jpg,https://i.ebayimg.com/images/g/kZwAAOSwPCVX6x8I/s-l300.jpg,55 ZŁ
Bee Gees,Spirits Having Flown,HOL,VG+,,https://img.discogs.com/5TVXhhJeiv63UMEOYunMCfrKcHo=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2699002-1297071201.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/BeeGeesSpiritsHavingFlown.jpg/220px-BeeGeesSpiritsHavingFlown.jpg,https://img.discogs.com/A5QTnw3C_VVYMZbdku2voeAi4iQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2699002-1297071201.jpeg.jpg,20 ZŁ
Beverley Craven,same,HOL,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Beverley_Craven_self_titled_album_cover.jpg/220px-Beverley_Craven_self_titled_album_cover.jpg,https://img.discogs.com/8zubTh7_i0OgYPzYBK_60QbOKUs=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-993790-1290178498.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/a/a9/Beverley_Craven_self_titled_album_cover.jpg,50 ZŁ
Big Audio Dynamite,Megatop Phoenix,UK,VG+/EX-,,https://img.discogs.com/tfFV8NcJvkttV5912g2WIwenkVg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-99875-1509140906-3094.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/513A54DD3RL.jpg,https://img.discogs.com/ydC8HuDSBz8HJ7w_AMmGaJ9DGd8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-99875-1509140906-3094.jpeg.jpg,35 ZŁ
Billie Holiday,Gallant Lady,USA,EX/EX+,,https://img.discogs.com/wb5NG3tYkScQeWUKLumk5ooskRo=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2435384-1336251727.jpeg.jpg,https://i.etsystatic.com/6541385/r/il/13a5d0/1943400342/il_570xN.1943400342_kqa1.jpg,https://img.discogs.com/RvQCzwayNkoZk4uBj4ucrByU4jQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-8378047-1460440417-4027.jpeg.jpg,40 ZŁ
Billie Holiday,God Bless The Child 2 LP,HOL,EX+,,https://img.discogs.com/wTE3YQp0E_5B1jITAOlKkXjFRw0=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2785503-1301094652.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/61uN%2BMZcG-L._SY355_.jpg,https://img.discogs.com/0ZrIdljhNFvbNfDy4rd1KPDmYJQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1458908-1333372862.jpeg.jpg,85 ZŁ
Billie Holiday,Lady Day,UK,EX,,https://cdn-s3.allmusic.com/release-covers/500/0000/283/0000283898.jpg,https://img.discogs.com/-PXe0E9v72GfSWkwyTUnfWMYsck=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2612589-1421926481-2530.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/61QHYHQzFUL._SY355_.jpg,40 ZŁ
Billie Holiday,Lady In Satin,UK,EX+,,https://images-na.ssl-images-amazon.com/images/I/71boULe64yL._SL1500_.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Ladyinsatin2.jpg/220px-Ladyinsatin2.jpg,https://img.discogs.com/ZFiAhdfx8bK18G3icODfn3ynWv4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-9107249-1474897189-2592.jpeg.jpg,50 ZŁ
Billie Holiday,Lady Sings The Blues,GER,EX+,,https://www.udiscovermusic.com/wp-content/uploads/2015/04/Billie-Holiday-Lady-Sings-The-Blues.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Billieholidayladysingstheblues.jpg/220px-Billieholidayladysingstheblues.jpg,https://images-na.ssl-images-amazon.com/images/I/61AXpRObfgL._SX355_.jpg,65 ZŁ
Billy Joel,Greatest Hits 2 LP,HOL,EX+,,https://img.discogs.com/f3QqyDH7JQ66ioJZ-QYQRwd682g=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1326435-1352488740-5488.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/91uWvygS7mL._SX425_.jpg,https://img.discogs.com/jJkSsUhNoOvdrzLvI_dVx9uGpgo=/fit-in/600x597/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1326435-1352488740-5488.jpeg.jpg,40 ZŁ
Birth Control,Increase,GER,EX,,https://img.discogs.com/lvy_j4vQrq7v8D1yrIzqZDXAQBY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-867213-1551530323-3629.jpeg.jpg,https://albumartexchange.com/coverart/gallery/bi/birthcontrol_increase_1y9c.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/8a/ec/2b/8aec2b87-d7d2-faf6-f8f4-7ed5feb30336/source/1200x1200bb.jpg,60 ZŁ
Birth Control,Live 2 LP,HOL,EX+,,https://img.discogs.com/0NYcUWzfWOkWwsAE88rEY1Dgqok=/fit-in/600x598/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2675988-1507822153-9108.jpeg.jpg,https://cdn2.bigcommerce.com/server2200/f566b/products/16453/images/20057/Birth_Control_Live_Columbia__33015.1554854265.1280.1280.JPG?c=2,https://img.discogs.com/HOVVsCi2ZsUNe2MH7xOoaY_Di7c=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2675988-1507822153-9108.jpeg.jpg,70 ZŁ
Bjork,Biophillia 2 LP Limited kolorowy winyl,UK,NM,,https://i.pinimg.com/236x/8e/7e/74/8e7e7428fb06e73e4ea1fbd2b98bcee6--cover-art-cd-cover.jpg,https://image.ceneostatic.pl/data/products/52171057/f-vespertine-live-bjork-cd.jpg,https://i.pinimg.com/236x/93/db/66/93db669d13a865d8833dd7d076828b31--alternative-fashion-avant-garde.jpg,120 ZŁ
Bjork,Medulla 2 LP,UK,NM,,https://img.discogs.com/28Tl2mTJ6DppNWsI865t01739-U=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-72026-1204678795.jpeg.jpg,https://i.ebayimg.com/images/g/4mEAAOSwNbZd3yEj/s-l600.jpg,https://img.discogs.com/7DbvzDzqkLx9VDTivYEBNhv1JLs=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-993674-1204677402.jpeg.jpg,120 ZŁ
Bjork,Vulnicura 2 LP,UK,NM,,https://img.discogs.com/0MlEY37uYaLgRoOVBvewOTtzB0A=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7165846-1437824309-6017.jpeg.jpg,https://cdn.shopify.com/s/files/1/0105/4542/products/bjork-vulnicura_1200x.jpg?v=1571264027,https://img.discogs.com/w3RaR2o4S7rb6pHKAz1gIlcc-0E=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-7739922-1457726937-9950.jpeg.jpg,120 ZŁ
Black Rob,The Black Rob Report 2 LP,USA,NM,,https://i.ebayimg.com/images/g/GeUAAOSw9V1acm79/s-l640.jpg,https://img.discogs.com/NZDs8hOqLS3kJ4HdPBAdhIiuzPM=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-317644-1476253629-9571.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/51KytNjq8eL.jpg,60 ZŁ
Black Sabbath,Born Again,UK,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/SabbathBorn.jpg/220px-SabbathBorn.jpg,https://img.discogs.com/V7SX5FMOnAU_y2wKawHL9sSmSkY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2637933-1294445645.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/e/ed/SabbathBorn.jpg,100 ZŁ
Black Sabbath,Never Say Die,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Black-Sabbath-Never-Say-Die.jpg/220px-Black-Sabbath-Never-Say-Die.jpg,https://www.black-sabbath.com/images/covers/neversaydie_large.jpg,https://upload.wikimedia.org/wikipedia/en/5/56/Black-Sabbath-Never-Say-Die.jpg,100 ZŁ
Black Sabbath,Technical Extasy,GER,VG+,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Black-Sabbath-Technical-Ecstasy.jpg/220px-Black-Sabbath-Technical-Ecstasy.jpg,https://townsquare.media/site/295/files/2017/08/4-Technical-Ecstasy-Black-Sabbath-1976.jpg?w=980&q=75,https://upload.wikimedia.org/wikipedia/en/d/d5/Black-Sabbath-Technical-Ecstasy.jpg,50 ZŁ
Black Sabbath,vol 4,UK,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Black_Sabbath_Vol._4.png/220px-Black_Sabbath_Vol._4.png,https://images-na.ssl-images-amazon.com/images/I/61c30tekbuL._SX355_.jpg,https://upload.wikimedia.org/wikipedia/en/5/59/Black_Sabbath_Vol._4.png,120 ZŁ
Black Uhuru,Brutal,UK,VG,,https://img.discogs.com/2PB30Q9PWl29GfwV_qOvVWVYkC0=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-561187-1203809119.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/BlackUhuru_Brutal.jpg/220px-BlackUhuru_Brutal.jpg,https://img.discogs.com/uX9EqZffVJQpIOCADer7Ii35GGY=/fit-in/590x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-561187-1203809119.jpeg.jpg,30 ZŁ
Blind Faith,same,GER,EX+,,https://i.pinimg.com/originals/fa/14/af/fa14afbe5a7fed103fe510df0c25f58f.jpg,http://www.feelnumb.com/wp-content/uploads/2011/07/23221_613994936_5037_n.jpg,https://1.bp.blogspot.com/-COw1DmV1ZKE/W4Y7LBee_XI/AAAAAAADRnY/0iYBntU-G6kJ-4tmrEwdnjsnR3s5ZuI2ACLcBGAs/s1600/Blind-Faith-US.jpg,100 ZŁ
Blind John Davis,Live In Hamburg,GER,EX,,https://img.discogs.com/hIz1MxdE4aLhRAt-iKGe0G6exRA=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3978882-1351227668-5930.jpeg.jpg,https://images.eil.com/large_image/BLIND_JOHN_DAVIS_LIVE%2BIN%2BHAMBURG-373133.jpg,https://img.discogs.com/-RCnIWSh6KnK06UUZToi5ZOeQ5w=/fit-in/391x400/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3978882-1351227668-5930.jpeg.jpg,50 ZŁ
